"ID","タイトル","巻・号","著者","発行者","発行年","県","市町村","旧市町村","flag","lat","lon"
"https://iss.ndl.go.jp/books/R100000002-I000007348618-00","土佐国石塔・石仏巡礼",1,"高知県立歴史民俗資料館","高知県立歴史民俗資料館",2004,"高知県",,,0,33.56089,133.531296
"https://iss.ndl.go.jp/books/R100000002-I000007363070-00","中世資料集成","2(遺跡・石塔編)","朝霞市博物館","朝霞市博物館",2004,"埼玉県","朝霞市",,0,35.797642,139.593307
"https://iss.ndl.go.jp/books/R100000002-I000007366329-00","東京石佛ウォーク",3,,"多摩野佛研究会",2004,"東京都",,,1,35.689499,139.691635
"https://iss.ndl.go.jp/books/R100000002-I000007366331-00","東京石佛ウォーク",4,,"多摩野佛研究会",2004,"東京都",,,1,35.689499,139.691635
"https://iss.ndl.go.jp/books/R100000002-I000007392692-00","戸出を語る石佛・石碑",,"戸出を知る会","戸出を知る会",2004,"富山県","高岡市",,1,36.754871,137.02533
"https://iss.ndl.go.jp/books/R100000002-I000007395993-00","下蓮田の石造物",,"蓮田市教育委員会","蓮田市教育委員会",2004,"埼玉県","蓮田市",,0,35.99416,139.662735
"https://iss.ndl.go.jp/books/R100000002-I000007426344-00","六十六部廻国供養塔 : 「石に聴く」宮崎県の石塔採訪記",,"長曽我部, 光義, 1926-","岩田書院",2004,"宮崎県",,,1,31.910919,131.423645
"https://iss.ndl.go.jp/books/R100000002-I000007440555-00","奥津町の石仏",,"苫田ダム水没地域民俗調査団","奥津町",2004,"岡山県","苫田郡鏡野町","苫田郡奥津町",0,35.09156,133.931686
"https://iss.ndl.go.jp/books/R100000002-I000007471367-00","牟礼町の石造物 : 鳥居・狛犬・注連柱・手洗石",,"牟礼町文化財保護協会","牟礼町教育委員会",2004,"香川県","高松市","木田郡牟礼町",0,34.339619,134.136993
"https://iss.ndl.go.jp/books/R100000002-I000007514386-00","吹田の石造物","寺院編","吹田市立博物館","吹田市教育委員会",2004,"大阪府","吹田市",,0,34.759331,135.516739
"https://iss.ndl.go.jp/books/R100000002-I000007519479-00","庄和町史編さん資料","11 (石造物 1(南桜井地区の調査))","庄和町教育委員会 (埼玉県)","埼玉県庄和町教育委員会",2004,"埼玉県","春日部市","北葛飾郡庄和町",0,35.990929,139.802094
"https://iss.ndl.go.jp/books/R100000002-I000007586934-00","常磐の石造物",,"近藤, 長作, 1923-","[近藤長作]",2004,"愛知県","岡崎市",,1,34.954861,137.172897
